Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
163.70.143.60-192.168.1.4-443-57011-6,163.70.143.60,443,192.168.1.4,57011,6,18/12/2024 07:50:46 PM,5012736,3,2,63.0,0.0,39.0,0.0,21.0,19.672315572906,0.0,0.0,0.0,0.0,12.567986823962004,0.9974592717430161,1253184.0,2505945.338267776,5012102.0,0.0,5012479.0,2506239.5,3544357.8914551646,5012479.0,0.0,5012359.0,5012359.0,0.0,5012359.0,5012359.0,1,0,0,0,60,40,0.5984755630458096,0.39898370869720645,0.0,39.0,17.0,19.411336893681487,376.79999999999995,1,0,0,2,5,0,0,0,0.0,20.4,21.0,0.0,0,0,0,0,0,0,3,63,2,0,267,1021,1,20,377.0,0.0,377.0,377.0,5012102.0,0.0,5012102.0,5012102.0,NeedManualLabel
157.240.242.60-192.168.1.4-443-57009-6,157.240.242.60,443,192.168.1.4,57009,6,18/12/2024 07:50:46 PM,5012690,3,2,63.0,0.0,39.0,0.0,21.0,19.672315572906,0.0,0.0,0.0,0.0,12.568102156726228,0.9974684251370023,1253172.5,2505968.33755184,5012125.0,0.0,5012479.0,2506239.5,3544357.8914551646,5012479.0,0.0,5012336.0,5012336.0,0.0,5012336.0,5012336.0,1,0,0,0,60,40,0.5984810550822014,0.3989873700548009,0.0,39.0,17.0,19.411336893681487,376.79999999999995,1,0,0,2,5,0,0,0,0.0,20.4,21.0,0.0,0,0,0,0,0,0,3,63,2,0,267,1021,1,20,354.0,0.0,354.0,354.0,5012125.0,0.0,5012125.0,5012125.0,NeedManualLabel
192.168.1.4-140.82.112.26-56875-443-6,192.168.1.4,56875,140.82.112.26,443,6,18/12/2024 07:50:41 PM,15039808,2,3,30.0,25.0,29.0,1.0,15.0,19.79898987322333,25.0,0.0,8.333333333333332,14.433756729740644,3.6569615782329135,0.3324510525666285,3759952.0000000005,7117130.300199794,1.4433496E7,192.0,1.4730049E7,1.4730049E7,0.0,1.4730049E7,1.4730049E7,1.4743447E7,7371723.5,9986854.443893358,1.4433496E7,309951.0,0,0,0,0,40,72,0.1329804210266514,0.1994706315399771,0.0,29.0,9.333333333333332,13.75015151431673,189.06666666666666,0,0,0,2,5,0,0,0,1.0,11.2,15.0,8.333333333333334,0,0,0,0,0,0,2,30,3,25,252,74,1,20,296361.0,0.0,296361.0,296361.0,1.4433496E7,0.0,1.4433496E7,1.4433496E7,NeedManualLabel
192.168.1.2-224.0.0.251-5353-5353-17,192.168.1.2,5353,224.0.0.251,5353,17,18/12/2024 07:50:37 PM,22014423,4,0,244.0,0.0,61.0,61.0,61.0,0.0,0,0,0,0,11.083642755478987,0.1816990615652293,7338141.0,1.1026537768872377E7,2.0070349E7,920126.0,2.2014423E7,7338141.0,1.1026537768872377E7,2.0070349E7,920126.0,0,0,0,0,0,0,0,0,0,32,0,0.1816990615652293,0.0,61.0,61.0,61.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,76.25,61.0,0.0,0,0,0,0,0,0,2,122,0,0,0,0,3,8,1944074.0,0.0,1944074.0,1944074.0,2.0070349E7,0.0,2.0070349E7,2.0070349E7,NeedManualLabel
192.168.1.4-20.198.119.84-49876-443-6,192.168.1.4,49876,20.198.119.84,443,6,18/12/2024 07:50:54 PM,220254,2,1,100.0,170.0,100.0,0.0,50.0,70.71067811865476,170.0,170.0,170.0,0.0,1225.8574191615135,13.620637990683484,110127.0,98727.66300282814,179938.0,40316.0,220254.0,220254.0,0.0,220254.0,220254.0,0,0,0,0,0,1,0,0,0,40,20,9.080425327122322,4.540212663561161,0.0,170.0,92.5,69.94045086119095,4891.666666666666,0,0,0,2,3,0,0,0,0.0,123.33333333333333,50.0,170.0,0,0,0,0,0,0,0,0,0,0,252,6961,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.4-184.105.99.75-57148-443-6,192.168.1.4,57148,184.105.99.75,443,6,18/12/2024 07:50:25 PM,46161396,8,8,1934.0,3272.0,1452.0,0.0,241.75000000000003,509.7261870007129,1452.0,0.0,408.99999999999994,647.5163539026861,112.77821840569986,0.34660996820806717,3077426.4,1.1601313199913576E7,4.5011049E7,0.0,4.5894403E7,6556343.285714286,1.695757171889955E7,4.5011049E7,0.0,4.5892909E7,6556129.857142858,1.707541939574005E7,4.527816E7,0.0,0,0,0,0,172,184,0.17330498410403358,0.17330498410403358,0.0,1452.0,306.235294117647,557.0692875903954,310326.19117647066,0,2,0,6,15,0,0,0,1.0,325.375,241.75,409.0,0,0,0,5205,8,8479,8,1934,8,3272,65535,83,4,20,883354.0,0.0,883354.0,883354.0,4.5011049E7,0.0,4.5011049E7,4.5011049E7,NeedManualLabel
31.13.79.53-192.168.1.4-443-57006-6,31.13.79.53,443,192.168.1.4,57006,6,18/12/2024 07:50:46 PM,5012779,3,2,63.0,0.0,39.0,0.0,21.0,19.672315572906,0.0,0.0,0.0,0.0,12.567879014813938,0.9974507154614237,1253194.75,2506098.1696668593,5012342.0,0.0,5012479.0,2506239.5,3544357.8914551646,5012479.0,0.0,5012642.0,5012642.0,0.0,5012642.0,5012642.0,1,0,0,0,60,40,0.5984704292768542,0.3989802861845695,0.0,39.0,17.0,19.411336893681487,376.79999999999995,1,0,0,2,5,0,0,0,0.0,20.4,21.0,0.0,0,0,0,0,0,0,3,63,2,0,267,1021,1,20,137.0,0.0,137.0,137.0,5012342.0,0.0,5012342.0,5012342.0,NeedManualLabel
184.105.99.75-192.168.1.4-443-56940-6,184.105.99.75,443,192.168.1.4,56940,6,18/12/2024 07:50:16 PM,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,NaN,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,83,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.4-192.168.1.1-54365-53-17,192.168.1.4,54365,192.168.1.1,53,17,18/12/2024 07:50:55 PM,21626,1,1,44.0,136.0,44.0,44.0,44.0,0.0,136.0,136.0,136.0,0.0,8323.314528807916,92.48127254231018,21626.0,0.0,21626.0,21626.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,46.24063627115509,46.24063627115509,44.0,136.0,74.66666666666667,53.11622476544557,2821.3333333333335,0,0,0,0,0,0,0,0,1.0,112.0,44.0,136.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
35.71.162.24-192.168.1.4-443-56702-6,35.71.162.24,443,192.168.1.4,56702,6,18/12/2024 07:50:55 PM,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,NaN,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,96,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,278,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
