Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.4-52.73.159.176-57900-443-6,192.168.1.4,57900,52.73.159.176,443,6,18/12/2024 07:54:54 PM,7004924,15,16,2806.0,5346.0,1203.0,0.0,187.06666666666666,400.6989369779237,1452.0,0.0,334.125,570.328311881265,1163.7528115936732,4.425458434666814,233497.46666666667,324949.9593405574,1013318.0,0.0,6881903.0,491564.50000000006,515378.37828109734,1519042.0,621.0,6767183.0,451145.5333333333,557016.0956634232,1512506.0,0.0,0,0,0,0,312,368,2.1413508554839424,2.284107579182872,0.0,1452.0,254.74999999999991,487.30231723961344,237463.54838709685,2,2,0,9,30,0,0,0,1.0,262.96774193548384,187.06666666666666,334.125,0,0,0,8148,12,5238,7,1403,8,2673,65535,250,9,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.4-52.73.159.176-57900-443-6,192.168.1.4,57900,52.73.159.176,443,6,18/12/2024 07:55:01 PM,659,2,1,0.0,24.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,36418.81638846738,4552.352048558422,329.5,403.75797205751866,615.0,44.0,659.0,659.0,0.0,659.0,659.0,0,0,0,0,0,0,0,0,0,40,20,3034.901365705615,1517.4506828528074,0.0,24.0,6.0,12.0,144.0,0,0,1,1,3,0,0,0,0.0,8.0,0.0,24.0,0,0,0,0,0,0,0,0,0,0,252,250,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.4-184.105.99.75-57822-443-6,192.168.1.4,57822,184.105.99.75,443,6,18/12/2024 07:55:22 PM,4966644,1,4,1.0,63.0,1.0,1.0,1.0,0.0,39.0,0.0,15.75,19.189841062395487,12.88596484869864,1.0067160038045813,1241661.0,2320588.2394148833,4718104.0,0.0,0,0,0,0,0,4718104.0,1572701.3333333335,2723998.61446465,4718104.0,0.0,0,0,0,0,20,92,0.20134320076091625,0.805372803043665,0.0,39.0,10.833333333333334,16.70229525145172,278.9666666666667,1,0,0,2,5,0,0,0,4.0,13.0,1.0,15.75,0,0,0,0,0,0,1,1,4,63,252,83,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.4-3.229.246.5-50104-443-6,192.168.1.4,50104,3.229.246.5,443,6,18/12/2024 07:54:52 PM,294332,1,1,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,105.32324042238018,6.7950477691858175,294332.0,0.0,294332.0,294332.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,20,3.3975238845929088,3.3975238845929088,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,0,1,2,0,0,0,1.0,31.0,31.0,0.0,0,0,0,0,0,0,0,0,0,0,252,3443,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.4-15.197.237.19-57199-443-6,192.168.1.4,57199,15.197.237.19,443,6,18/12/2024 07:54:56 PM,1418622,9,11,2609.0,1091.0,1260.0,0.0,289.8888888888889,416.3344342125824,453.0,0.0,99.18181818181819,162.78010823305053,2608.1648247383728,14.098188241829043,74664.31578947367,144688.177534023,532856.0,0.0,1418622.0,177327.75,200679.86099667018,552422.0,230.0,1353689.0,135368.9,203673.95846218424,532856.0,0.0,1,0,0,0,192,232,6.344184708823069,7.754003533005974,0.0,1260.0,198.0476190476191,308.47827738602217,95158.84761904762,0,0,0,11,20,0,0,0,1.0,207.95,289.8888888888889,99.18181818181819,0,0,0,3700,11,2698,0,0,0,0,254,942,5,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.2-224.0.0.22-0-0-0,192.168.1.2,0,224.0.0.22,0,0,18/12/2024 07:55:15 PM,716101,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.792902118555902,716101.0,0.0,716101.0,716101.0,716101.0,716101.0,0.0,716101.0,716101.0,0,0,0,0,0,0,0,0,0,0,0,2.792902118555902,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.4-184.105.99.75-57822-443-6,192.168.1.4,57822,184.105.99.75,443,6,18/12/2024 07:55:27 PM,300800,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.297872340425531,100266.66666666666,173260.08840276324,300330.0,0.0,470.0,470.0,0.0,470.0,470.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,40,6.648936170212766,6.648936170212766,0.0,0.0,0.0,0.0,0.0,1,0,0,0,4,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,251,83,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.4-35.71.162.24-57674-443-6,192.168.1.4,57674,35.71.162.24,443,6,18/12/2024 07:54:55 PM,274253,3,5,434.0,519.0,403.0,0.0,144.66666666666669,224.25952228017726,457.0,0.0,103.8,198.05226582899778,3474.8936201244833,29.170145814266387,39179.00000000001,75975.70307670736,199708.0,0.0,274253.0,137126.5,193469.3650801077,273930.0,323.0,199708.0,49927.00000000001,99854.0,199708.0,0.0,1,0,0,0,72,100,10.938804680349895,18.23134113391649,0.0,457.0,150.66666666666669,203.79094680578922,41530.75000000001,0,0,0,5,8,0,0,0,1.0,169.5,144.66666666666666,103.8,0,0,0,953,5,3476,0,0,0,0,253,272,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.4-192.168.1.1-65307-53-17,192.168.1.4,65307,192.168.1.1,53,17,18/12/2024 07:55:37 PM,19161,1,1,34.0,50.0,34.0,34.0,34.0,0.0,50.0,50.0,50.0,0.0,4383.904806638484,104.37868587234486,19161.0,0.0,19161.0,19161.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,52.18934293617243,52.18934293617243,34.0,50.0,39.333333333333336,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,1.0,59.0,34.0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.4-192.168.1.1-62832-53-17,192.168.1.4,62832,192.168.1.1,53,17,18/12/2024 07:54:55 PM,97301,1,1,44.0,136.0,44.0,44.0,44.0,0.0,136.0,136.0,136.0,0.0,1849.929599901337,20.55477333223708,97301.0,0.0,97301.0,97301.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,10.27738666611854,10.27738666611854,44.0,136.0,74.66666666666667,53.11622476544557,2821.3333333333335,0,0,0,0,0,0,0,0,1.0,112.0,44.0,136.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
